chroma_stft_0_mean,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_0_var,chroma_stft_1_var,chroma_stft_2_var,chroma_stft_3_var,chroma_stft_4_var,chroma_stft_5_var,chroma_stft_6_var,chroma_stft_7_var,chroma_stft_8_var,chroma_stft_9_var,chroma_stft_10_var,chroma_stft_11_var,chroma_cqt_0_mean,chroma_cqt_1_mean,chroma_cqt_2_mean,chroma_cqt_3_mean,chroma_cqt_4_mean,chroma_cqt_5_mean,chroma_cqt_6_mean,chroma_cqt_7_mean,chroma_cqt_8_mean,chroma_cqt_9_mean,chroma_cqt_10_mean,chroma_cqt_11_mean,chroma_cqt_0_var,chroma_cqt_1_var,chroma_cqt_2_var,chroma_cqt_3_var,chroma_cqt_4_var,chroma_cqt_5_var,chroma_cqt_6_var,chroma_cqt_7_var,chroma_cqt_8_var,chroma_cqt_9_var,chroma_cqt_10_var,chroma_cqt_11_var,chroma_cens_0_mean,chroma_cens_1_mean,chroma_cens_2_mean,chroma_cens_3_mean,chroma_cens_4_mean,chroma_cens_5_mean,chroma_cens_6_mean,chroma_cens_7_mean,chroma_cens_8_mean,chroma_cens_9_mean,chroma_cens_10_mean,chroma_cens_11_mean,chroma_cens_0_var,chroma_cens_1_var,chroma_cens_2_var,chroma_cens_3_var,chroma_cens_4_var,chroma_cens_5_var,chroma_cens_6_var,chroma_cens_7_var,chroma_cens_8_var,chroma_cens_9_var,chroma_cens_10_var,chroma_cens_11_var,genre
0.3622428,0.367817,0.43983436,0.2446918,0.24786198,0.33561644,0.3646188,0.43568376,0.29598567,0.3150803,0.40700835,0.38510063,0.10695023,0.081769824,0.09995376,0.044646904,0.06566808,0.08352278,0.076847956,0.119802244,0.06438384,0.0787414,0.110864565,0.08566731,0.5741899,0.5125164,0.48073983,0.37567362,0.4870918,0.56152403,0.637837,0.6885264,0.49908882,0.5204371,0.5481218,0.5681558,0.075863965,0.05033963,0.03804863,0.023562806,0.046902332,0.043917995,0.05259736,0.05353853,0.031130157,0.04754367,0.050090663,0.059315983,0.28550234,0.26238745,0.24128996,0.1561113,0.24082613,0.29212147,0.3337755,0.36272427,0.25422847,0.26506487,0.2843913,0.28873542,0.016780425,0.00813944,0.0038912147,0.0043825544,0.007357908,0.0048886095,0.0069080982,0.006616728,0.0017007568,0.005722905,0.0054849284,0.009730896,blues
0.46004018,0.35018247,0.3208068,0.21147157,0.20078844,0.3307942,0.3973788,0.56035495,0.38417932,0.25532588,0.28477612,0.3340937,0.14257702,0.088213086,0.09506487,0.05233194,0.043679167,0.09667877,0.07982033,0.13455163,0.08719861,0.054375555,0.07785593,0.07245458,0.49916622,0.3620875,0.40353367,0.3005399,0.38993305,0.48011458,0.5138274,0.8419348,0.5577095,0.5016831,0.4785413,0.39219618,0.09035485,0.029327499,0.04327779,0.016326072,0.026178187,0.044653296,0.041493677,0.051051974,0.027963419,0.035048723,0.043344796,0.03700756,0.25427362,0.18146968,0.21223298,0.114967704,0.21690115,0.26823696,0.3053697,0.48242217,0.33559495,0.29216537,0.27240086,0.19698751,0.024926465,0.0048095016,0.008330723,0.0046036085,0.0033363034,0.0043592555,0.005894139,0.010921535,0.0038328848,0.0030356336,0.0056444076,0.008489013,blues
0.27290025,0.19595262,0.31516543,0.40798622,0.54682016,0.32169873,0.304657,0.2884035,0.33415225,0.40181875,0.3843895,0.5885082,0.044716116,0.032730903,0.073728785,0.07359392,0.1226305,0.05557938,0.05848236,0.063201256,0.061145023,0.11096462,0.06325212,0.124609254,0.33245915,0.28839186,0.4177939,0.411707,0.70513374,0.41543096,0.42566323,0.44484112,0.3627092,0.47738457,0.38459834,0.65834516,0.018162727,0.019821,0.04758508,0.037440114,0.079889216,0.035325013,0.03809026,0.040028553,0.03076908,0.07291909,0.04219696,0.07813097,0.18245058,0.12544273,0.24621105,0.25145015,0.4379084,0.25163254,0.25718015,0.27535936,0.21392933,0.27852932,0.21976104,0.41267383,0.0027467418,0.004396284,0.0045181257,0.0044950647,0.016923273,0.0037824404,0.004775909,0.0049705054,0.0047378694,0.018012734,0.00580978,0.01297406,blues
0.3413716,0.40862367,0.52431905,0.54701287,0.65707505,0.51152366,0.3555536,0.25161317,0.24627054,0.31511125,0.31657928,0.38319883,0.06263441,0.05624508,0.10638915,0.09209143,0.11902862,0.09204026,0.05366434,0.039754048,0.046257213,0.08628568,0.07895539,0.11374251,0.2385916,0.21072765,0.36621463,0.41608557,0.6506254,0.33128482,0.21290949,0.19661854,0.2096033,0.22527762,0.2670831,0.4776711,0.033804253,0.020111484,0.08423315,0.060641076,0.11885958,0.024963161,0.024992162,0.033353142,0.027860366,0.027000826,0.03768259,0.14645934,0.14899538,0.12409264,0.28193194,0.36290383,0.5046054,0.30432248,0.123150915,0.08549663,0.11202354,0.14796205,0.18547799,0.33218944,0.012493641,0.0065222634,0.036682967,0.017291436,0.028232979,0.01021848,0.0069877338,0.008424796,0.008263976,0.011095904,0.016880404,0.03921337,blues
0.1926048,0.3172665,0.39202207,0.25582695,0.19266349,0.5302209,0.2537794,0.13912144,0.27642432,0.3243265,0.5551238,0.2729307,0.03813604,0.103559606,0.09741652,0.075362794,0.03210751,0.1313342,0.043003824,0.031364277,0.09205748,0.054561157,0.12661973,0.047706526,0.42484358,0.5912541,0.49727833,0.35176197,0.54816455,0.7360524,0.33672696,0.40619227,0.42230445,0.65572083,0.65433615,0.33941856,0.046366528,0.0783844,0.05717842,0.03298521,0.044428263,0.062657595,0.029105293,0.050596718,0.039884117,0.053473394,0.06027051,0.027970508,0.216928,0.3279936,0.26594383,0.14872585,0.31120715,0.41731897,0.13535284,0.18508819,0.22040479,0.37722677,0.37249812,0.1381007,0.011909386,0.015121607,0.0055674757,0.0050381706,0.0045619677,0.00597687,0.0055474145,0.010195724,0.0052154684,0.002963075,0.004933663,0.0031981037,blues
0.23832265,0.30023736,0.6171865,0.23574118,0.12398709,0.2437683,0.27965158,0.4112927,0.2439858,0.28553343,0.28433675,0.36621904,0.08360198,0.045947,0.14672932,0.027091702,0.018846786,0.07653759,0.06597776,0.11315265,0.05533119,0.07924659,0.081037216,0.09373132,0.35960165,0.42094046,0.7517243,0.2569487,0.24719524,0.31080568,0.3902253,0.58586276,0.28398007,0.36303517,0.39764696,0.39898336,0.082282595,0.049550775,0.09480109,0.02117246,0.018605743,0.037842117,0.056705028,0.07366116,0.03366742,0.041323148,0.08264016,0.051552832,0.20194739,0.28929484,0.48709652,0.121179424,0.11601083,0.17608915,0.2410569,0.39970046,0.14635843,0.23899299,0.24021679,0.2597664,0.031072695,0.009933566,0.026034297,0.0037543592,0.0034121026,0.009374295,0.013008557,0.0132710915,0.0072690295,0.0062379674,0.0224587,0.011695684,blues
0.42551333,0.22324328,0.13134763,0.15259734,0.24195808,0.4911694,0.24550846,0.16911277,0.28835577,0.46184453,0.35927567,0.30718616,0.13377604,0.06114328,0.035159744,0.047761377,0.047014877,0.14840159,0.05963341,0.03747184,0.08771961,0.124780975,0.11088475,0.07322713,0.47658035,0.2303939,0.22462517,0.27122498,0.36687404,0.65830725,0.25635308,0.24678159,0.43358955,0.5302831,0.4626157,0.3677195,0.09410603,0.035994805,0.036271278,0.05189179,0.059050698,0.117740214,0.035718165,0.028240053,0.09999931,0.08159514,0.098257035,0.06763622,0.33286455,0.09998221,0.08884486,0.1336134,0.2396722,0.43781617,0.13539521,0.12568241,0.27691725,0.3826028,0.30875295,0.24093348,0.018078065,0.008539531,0.009308685,0.0109290825,0.014001851,0.029508501,0.008885796,0.0057604695,0.027122848,0.014085156,0.0270452,0.02049455,blues
0.259357,0.26412153,0.32535812,0.21773897,0.2152773,0.2957619,0.19005173,0.1807494,0.26434094,0.3904735,0.6486375,0.43659103,0.062464725,0.0892781,0.09386613,0.07137225,0.06534606,0.084081456,0.045994613,0.057419885,0.07867081,0.0727532,0.123034745,0.07709394,0.33699736,0.3968183,0.31479806,0.30717918,0.42633218,0.42706737,0.24026836,0.320302,0.4011981,0.72345245,0.6587483,0.3282954,0.0630121,0.085170254,0.05482281,0.058896996,0.059515018,0.05303475,0.0294752,0.04502328,0.0615697,0.07535606,0.07399169,0.032329723,0.1785872,0.22283524,0.15794358,0.14735201,0.270547,0.27417544,0.09319525,0.17191876,0.2555727,0.4743645,0.44384563,0.19541204,0.016081931,0.02179639,0.016536985,0.020635683,0.010786071,0.009185381,0.007063358,0.011583788,0.013146579,0.0138266655,0.014891262,0.004125048,blues
0.31967518,0.304487,0.36661547,0.42213294,0.5238111,0.4511191,0.49344274,0.35275286,0.38013846,0.4617059,0.36635947,0.4647148,0.052892048,0.05379414,0.0835593,0.0755542,0.123187,0.0899887,0.10745927,0.06599787,0.070133604,0.094373494,0.06874425,0.09766259,0.5806085,0.3468415,0.46939626,0.37160948,0.7169255,0.49239826,0.38412926,0.38294956,0.41868296,0.4529912,0.45362994,0.68663853,0.03918869,0.01294796,0.104915254,0.018355854,0.09319006,0.0321941,0.019481951,0.019015562,0.02761135,0.027260322,0.029008973,0.054444604,0.34590343,0.17545727,0.22059444,0.19860198,0.39684477,0.29760292,0.20931178,0.21100055,0.24291843,0.26475763,0.2590083,0.39935693,0.005213425,0.0040134545,0.024308288,0.0038447715,0.012859362,0.0047816406,0.0022744024,0.0014611332,0.0019476161,0.0019226081,0.0032242357,0.005546791,blues
0.24824716,0.27315462,0.4885124,0.26800504,0.17971842,0.2677253,0.22258572,0.41535103,0.27268866,0.18117546,0.22990076,0.24054772,0.08754748,0.08573228,0.15300877,0.059118796,0.04448157,0.1077921,0.047405407,0.14531055,0.0700815,0.0471448,0.094139315,0.07601592,0.40807897,0.43578252,0.63382083,0.27149248,0.37330726,0.3769484,0.2822615,0.5777236,0.3703214,0.28502014,0.30812788,0.36510456,0.06622652,0.079832725,0.1095607,0.032572955,0.07124435,0.07926712,0.036550447,0.1010853,0.053858627,0.03300491,0.057378683,0.052812435,0.2703333,0.28223628,0.4214225,0.13518357,0.2210878,0.22689258,0.15011792,0.38812673,0.23279157,0.15769039,0.15808252,0.23650658,0.020960735,0.022954121,0.022032358,0.0071956594,0.0167239,0.032292638,0.011652411,0.0342011,0.013089086,0.00991412,0.017364576,0.009488943,blues
