mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_var,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,genre,filename
-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970944,-8.326061,8.802088,-3.6699412,2569.3694,295.8471,235.58444,151.03874,167.99289,89.17242,67.60309,69.001495,82.21985,63.346542,61.76499,51.28075,41.215897,blues,data\genres_original\blues\blues.00000.wav
-207.52383,123.98514,8.947019,35.86715,2.9095948,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,7769.1045,559.91345,572.3363,264.7167,279.97604,156.36682,200.80203,142.56712,166.11464,104.35725,105.15637,96.20452,64.87307,blues,data\genres_original\blues\blues.00001.wav
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634442,-11.778322,9.714756,-13.125314,5.791247,-8.901966,3317.887,508.85614,412.06442,143.95422,155.66135,74.391716,106.84102,106.52026,65.48224,67.84235,57.67196,64.49476,60.390575,blues,data\genres_original\blues\blues.00002.wav
-199.57513,150.0861,5.663404,26.855278,1.7700713,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.0780816,-2.478445,5508.2666,456.30908,257.10977,158.36113,267.97372,126.80743,155.94673,81.2703,92.3018,71.381836,110.269356,48.21452,56.776222,blues,data\genres_original\blues\blues.00003.wav
-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324933,-11.796538,1.2035192,-13.084959,-2.8104992,-6.9344707,5199.1035,853.27124,334.03232,193.75323,336.4254,134.86504,93.29354,124.73352,129.97537,99.71714,80.24316,86.43649,89.548325,blues,data\genres_original\blues\blues.00004.wav
-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446,7307.454,3195.2056,654.1079,485.68988,433.27664,266.4076,169.70601,133.70337,172.22574,100.121,76.55475,78.802635,80.10772,blues,data\genres_original\blues\blues.00005.wav
-190.0688,130.27023,-36.362114,33.036213,11.093892,-0.5918819,-20.890266,0.2784425,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,9653.348,1933.7037,1307.0305,480.1932,1082.9683,280.1115,151.6834,102.85332,131.09853,153.40236,87.5064,64.21005,79.14685,blues,data\genres_original\blues\blues.00006.wav
-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,6573.5034,1479.0457,591.20874,353.4062,650.0896,136.28798,163.69316,151.28441,171.91977,178.22743,147.56088,83.71853,93.2653,blues,data\genres_original\blues\blues.00007.wav
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989505,-12.730549,2619.6743,414.5375,341.22403,193.91731,177.07607,106.9469,57.659283,77.1547,42.568737,58.8517,48.918488,56.535202,61.94805,blues,data\genres_original\blues\blues.00008.wav
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263548,6132.9727,798.2638,669.0846,350.93396,531.99756,278.2447,126.45182,67.964165,110.09561,92.602684,84.85938,104.41364,76.34565,blues,data\genres_original\blues\blues.00009.wav
