Genre,Filename,MFCC_0_mean,MFCC_0_std,MFCC_0_min,MFCC_0_max,MFCC_1_mean,MFCC_1_std,MFCC_1_min,MFCC_1_max,MFCC_2_mean,MFCC_2_std,MFCC_2_min,MFCC_2_max,MFCC_3_mean,MFCC_3_std,MFCC_3_min,MFCC_3_max,MFCC_4_mean,MFCC_4_std,MFCC_4_min,MFCC_4_max,MFCC_5_mean,MFCC_5_std,MFCC_5_min,MFCC_5_max,MFCC_6_mean,MFCC_6_std,MFCC_6_min,MFCC_6_max,MFCC_7_mean,MFCC_7_std,MFCC_7_min,MFCC_7_max,MFCC_8_mean,MFCC_8_std,MFCC_8_min,MFCC_8_max,MFCC_9_mean,MFCC_9_std,MFCC_9_min,MFCC_9_max,MFCC_10_mean,MFCC_10_std,MFCC_10_min,MFCC_10_max,MFCC_11_mean,MFCC_11_std,MFCC_11_min,MFCC_11_max,MFCC_12_mean,MFCC_12_std,MFCC_12_min,MFCC_12_max
blues,blues.00000.wav,-113.59882,50.688946,-257.911,21.742056,121.57067,17.200207,46.890457,164.75476,-19.162262,15.348761,-70.900154,28.366945,42.363937,12.289782,-1.274149,71.43294,-6.362266,12.961207,-49.184868,30.379974,18.621931,9.443115,-14.367302,41.80767,-13.699734,8.22211,-38.83381,14.780131,15.339802,8.306714,-10.577637,43.634895,-12.274304,9.067516,-38.793354,13.90767,10.970944,7.959054,-14.338533,39.42435,-8.326061,7.859071,-33.125565,15.19115,8.802088,7.161058,-12.483559,31.242998,-3.6699412,6.419961,-26.569305,22.482096
blues,blues.00001.wav,-207.52383,88.142525,-448.55563,-25.956675,123.98514,23.66249,28.88229,192.77078,8.947019,23.923552,-78.69281,59.997047,35.86715,16.270117,-26.024185,76.585815,2.9095948,16.732485,-42.474632,42.422394,21.519472,12.504672,-26.499962,50.965454,-8.556513,14.170464,-57.46592,28.447266,23.370676,11.940147,-14.032225,57.322292,-10.103608,12.888547,-52.369705,21.89463,11.899242,10.21554,-29.54638,40.40428,-5.558824,10.254578,-37.257187,24.502066,5.3778763,9.808391,-25.349419,37.24259,-2.234492,8.054382,-27.189575,19.230032
blues,blues.00002.wav,-90.757164,57.6011,-343.9348,32.401398,140.44087,22.55784,-11.795292,198.8385,-29.084547,20.29937,-85.00932,46.547844,31.686693,11.998093,1.0605386,91.40402,-13.976547,12.476432,-64.4411,37.09912,25.753752,8.625063,-5.9715724,61.293636,-13.66499,10.336393,-51.17915,25.839512,11.634442,10.320866,-31.285774,34.020233,-11.778322,8.09211,-34.6715,29.949432,9.714756,8.236647,-33.708015,31.050621,-13.125314,7.5942054,-45.190304,13.12067,5.791247,8.030863,-32.569252,25.241777,-8.901966,7.771137,-28.854305,23.078028
blues,blues.00003.wav,-199.57513,74.2177,-363.9536,-14.066174,150.0861,21.361393,62.801792,235.0739,5.663404,16.034643,-63.067093,43.561993,26.855278,12.584162,-27.263674,63.4926,1.7700713,16.369904,-49.73822,37.437782,14.232647,11.26088,-24.058449,56.015835,-4.827845,12.487864,-45.373238,21.04934,9.286853,9.015004,-18.335243,30.783287,-0.75612015,9.607383,-29.548191,25.273716,8.134435,8.448777,-29.347544,32.761795,-3.200026,10.500921,-45.59827,25.346262,6.0780816,6.9436674,-14.122021,40.363243,-2.478445,7.535,-32.890564,20.651333
blues,blues.00004.wav,-160.35417,72.10481,-356.30292,-6.147505,126.20948,29.210808,-11.409155,188.28465,-35.581394,18.27655,-84.61236,21.923256,22.139256,13.919527,-13.978872,86.173416,-32.47355,18.341904,-96.11963,18.551868,10.850701,11.613141,-21.327457,46.329147,-23.35007,9.658858,-65.48233,0.2743503,0.49324933,11.168416,-27.954872,33.730682,-11.796538,11.400674,-44.25859,24.094097,1.2035192,9.9858465,-24.465715,30.68414,-13.084959,8.957854,-41.409294,24.97996,-2.8104992,9.297123,-30.323238,31.721022,-6.9344707,9.462997,-36.607307,24.070385
blues,blues.00005.wav,-177.80174,85.48365,-451.74277,13.48069,118.20316,56.52615,-85.43895,194.46027,-17.57063,25.575533,-77.22774,65.34683,30.760927,22.038372,-26.672855,104.37159,-21.742554,20.815298,-85.97183,45.790398,11.919263,16.321997,-23.78703,59.90927,-20.734299,13.027126,-69.42012,12.486639,3.1852882,11.563017,-23.334755,43.949005,-8.580818,13.123481,-50.19406,27.564402,-0.9328851,10.006048,-23.615068,36.070026,-11.772245,8.7495575,-52.496094,8.917013,-2.408764,8.877085,-36.482567,34.333176,-9.348446,8.950292,-32.542824,21.219849
blues,blues.00006.wav,-190.0688,98.25145,-443.44998,29.45856,130.27023,43.9739,-15.379963,201.39595,-36.362114,36.152878,-117.80623,54.204697,33.036213,21.913311,-18.004538,109.06424,11.093892,32.90848,-105.150894,58.099785,-0.5918819,16.736532,-35.61358,51.08857,-20.890266,12.315981,-64.356926,19.577425,0.2784425,10.141663,-31.436104,30.489765,-6.496385,11.449826,-50.76274,22.762745,-5.5127354,12.385571,-54.016617,33.897972,-7.847404,9.3544855,-46.06114,24.801144,-3.1243007,8.013118,-33.639618,31.054302,-6.6028214,8.896452,-42.875397,31.35249
blues,blues.00007.wav,-179.3723,81.07715,-413.14587,42.689907,136.44833,38.458363,-17.30569,211.60522,-26.662588,24.314785,-89.76281,51.445957,39.96545,18.7991,-9.581615,106.606674,5.3108945,25.496855,-73.21765,53.79418,10.919133,11.674244,-24.930634,55.310616,-20.559534,12.794263,-61.225883,25.389944,8.503361,12.299772,-25.645088,51.440525,-11.349764,13.111818,-58.079674,24.607113,-3.470555,13.350184,-38.981155,32.66903,-8.415842,12.147464,-58.92198,22.533066,-6.957211,9.149783,-37.710724,29.0573,-3.5460427,9.657396,-42.726135,19.058315
blues,blues.00008.wav,-121.38979,51.182755,-259.08032,0.9222479,122.49833,20.360193,26.793001,171.03479,-14.734729,18.47225,-92.740585,33.044426,46.122135,13.92542,9.692523,99.331635,-8.179258,13.3069935,-67.28344,23.63281,20.172466,10.341514,-16.048828,51.182304,-19.171894,7.593371,-40.497917,22.23609,23.036839,8.783775,-6.9890504,49.540356,-11.832729,6.524472,-33.763115,16.369741,21.154655,7.6714864,-4.2719274,45.399967,-6.7227974,6.9941754,-33.85614,20.491844,6.989505,7.5189896,-24.014366,29.024078,-12.730549,7.8707085,-35.5308,17.103062
blues,blues.00009.wav,-213.26424,78.3133,-371.29147,-53.860245,115.16476,28.253563,-42.237373,175.15985,-11.69817,25.866669,-75.82669,36.295937,39.015358,18.73323,0.21052717,118.554214,-20.34833,23.065073,-101.92168,22.28764,13.082702,16.680668,-34.70283,62.47982,-9.1827,11.24508,-57.527977,16.078613,9.017152,8.244039,-13.462525,34.858032,-14.104312,10.492645,-42.855858,19.085531,4.271254,9.623029,-25.417791,37.948063,-6.0507803,9.211915,-39.175377,20.430653,3.7858355,10.2183,-23.944605,31.427368,0.22263548,8.737599,-22.359703,28.279877
blues,blues.00010.wav,-173.81046,90.238914,-434.78052,8.72957,137.17355,32.90371,10.534007,216.88054,-23.72303,32.077187,-87.57117,91.43088,26.979677,22.257994,-45.361694,71.98131,-16.67521,17.023214,-79.84277,25.127796,4.1947303,12.6521225,-30.786392,40.83425,-12.571788,12.268544,-47.392334,16.211609,5.851669,9.079922,-27.346706,33.373226,-2.8769507,10.4205675,-40.040077,38.701485,-1.1783808,8.102306,-38.431538,26.991564,-1.9682404,7.451989,-30.577896,16.745625,1.8011796,7.6105366,-27.28809,33.243416,-3.0069504,9.677182,-29.360088,36.87603
blues,blues.00011.wav,-287.9319,77.015236,-443.90714,-77.23607,124.010765,31.54355,0.85215324,200.54417,5.4674478,17.38032,-54.54379,46.204506,33.66307,18.560555,-18.544325,90.413025,1.091654,21.005148,-84.38905,51.472862,14.703699,15.3422575,-30.74844,51.423195,-4.8811417,12.228331,-42.157513,26.656754,8.668892,13.759414,-34.753803,46.28622,0.78433156,12.193044,-37.771168,27.232414,6.57608,10.687588,-33.052277,36.202248,-4.875815,9.683863,-36.419357,16.943075,-3.176761,9.175842,-30.78759,26.319397,-5.5382586,8.1112795,-30.120632,23.545122
